阿公店,A kong tiàm
三灣鄉,Sam uan hiong
山里,San lí
山伯英台,San phik Ing tâi
山上區,San siōng khu
三角店,Sann kak tiàm
三角湧,Sann kak íng
三重埔,Sann tîng poo
西歐,Se au
紗帽山,Se bō suann
西門,Se mn̂g
西部幹線,Se pōo kàn suànn
西秦王爺,Se tsîn ông iâ
西子灣,Se á uân
西湖,Se ôo
西湖鄉,Se ôo hiong
施,Si
仙公廟,Sian kong biō
先嗇宮,Sian sik kiong
雙溪,Siang khe
雙溪區,Siang khe khu
雙溪口,Siang khe kháu
雙連,Siang liân
蕭,Siau
消基會,Siau ki huē
蕭壟,Siau lang
薛,Sih
釋,Sik
錫口,Sik kháu
申,Sin
辛,Sin
新興區,Sin hing khu
新園鄉,Sin hn̂g hiong
新豐,Sin hong
新豐鄉,Sin hong hiong
新化區,Sin huà khu
辛亥,Sin hāi
新營,Sin iânn
新營區,Sin iânn khu
新公園,Sin kong hn̂g
新港,Sin káng
伸港鄉,Sin káng hiong
新港鄉,Sin káng hiong
新馬,Sin má
新屋區,Sin ok khu
新北市,Sin pak tshī
新北投,Sin pak tâu
新埤鄉,Sin pi hiong
新埤頭,Sin pi thâu
新埔,Sin poo
新埔鎮,Sin poo tìn
新城,Sin siânn
新城鄉,Sin siânn hiong
新社區,Sin siā khu
新竹,Sin tik
新竹縣,Sin tik kuān
新竹市,Sin tik tshī
新店,Sin tiàm
新店區公所,Sin tiàm Khu kong sóo
新店溪,Sin tiàm khe
新店區,Sin tiàm khu
新厝莊,Sin tshù tsng
新厝仔,Sin tshù á
新市,Sin tshī
新市區,Sin tshī khu
新莊,Sin tsng
新莊區,Sin tsng khu
生態園區,Sing thài Uân khu
商,Siong
佘,Siâ
城,Siânn
小觀音山,Sió kuan im suann
小港,Sió káng
小港區,Sió káng khu
小南門,Sió lâm mn̂g
小碧潭,Sió phik thâm
小礁溪,Sió ta khe
常,Siông
松江南京,Siông kang Lâm kiann
嫦娥,Siông ngôo
松山,Siông san
松山區,Siông san khu
松山機場,Siông san ki tiûnn
秀姑巒溪,Siù koo luân khe
秀姑巒山,Siù koo luân suann
秀林鄉,Siù lîm hiong
袖珍博物館,Siù tin Phok bu̍t kuán
秀水鄉,Siù tsuí hiong
仇,Siû
社教館,Siā kàu kuán
社頭,Siā thâu
社頭鄉,Siā thâu hiong
善化,Siān huà
善化區,Siān huà khu
善導寺,Siān tō sī
邵,Siō
尚,Siōng
上元,Siōng guân
上員,Siōng guân
上元暝,Siōng guân mê
上元暝,Siōng guân mî
上官,Siōng kuan
上坪溪,Siōng pîng khe
上帝,Siōng tè
上帝公,Siōng tè kong
壽豐,Siū hong
壽豐鄉,Siū hong hiong
壽豐溪,Siū hong khe
壽山,Siū san
汐止,Si̍k tsí
汐止區,Si̍k tsí khu
十字路,Si̍p jī lōo
桑,Song
蘇,Soo
蘇澳,Soo ò
蘇澳港,Soo ò káng
蘇澳新站,Soo ò sin tsām
蘇澳鎮,Soo ò tìn
司,Su
司馬,Su má
沙,Sua
沙轆,Sua lak
沙鹿,Sua lak
沙鹿區,Sua lak khu
沙東宮,Sua tong kiong
宣,Suan
山佳,Suann kha
山線,Suann suànn
山地門,Suann tē mn̂g
山仔跤,Suann á kha
山仔頂,Suann á tíng
雪山,Suat suann
孫,Sun
線西鄉,Suànn sai hiong
瑞源,Suī guân
瑞芳,Suī hong
瑞芳區,Suī hong khu
瑞和,Suī hô
瑞北,Suī pak
瑞穗,Suī suī
瑞穗鄉,Suī suī hiong
世運,Sè ūn
四腳亭,Sì kha tîng
四重溪,Sì tîng khe
四湖,Sì ôo
四湖鄉,Sì ôo hiong
信義國小,Sìn gī Kok sió
信義鄉,Sìn gī hiong
信義區,Sìn gī khu
聖嬰,Sìng ing
沈,Sím
辰,Sîn
神木,Sîn bo̍k
神廣,Sîn kóng
神岡區,Sîn kóng khu
城隍,Sîng hông
城隍廟,Sîng hông biō
成功,Sîng kong
成功鎮,Sîng kong tìn
承天府,Sîng thian hú
宋,Sòng
宋江陣,Sòng kang tīn
史,Sú
荀,Sûn
盛,Sīng
樹火紀念紙博物館,Sū hué Kì liām tsuá Phok bu̍t kuán
士林,Sū lîm
士林區,Sū lîm khu
祀典武廟,Sū tián bú biō
順風耳,Sūn hong ní
順益臺灣原住民博物館,Sūn ik Tâi uân Guân tsū bîn Phok bu̍t kuán
焦,Ta
乾溪,Ta khe
礁溪,Ta khe
礁溪鄉,Ta khe hiong
他里霧,Ta lí bū
噍吧哖,Ta pa nî
丹大山,Tan tuā suann
東亞,Tang a
東歐,Tang au
東海,Tang hái
東洋,Tang iûnn
東區,Tang khu
冬瓜山,Tang kue suann
東港溪,Tang káng khe
東港鎮,Tang káng tìn
東南亞,Tang lâm a
東里,Tang lí
東門,Tang mn̂g
東部幹線,Tang pōo kàn suànn
東沙,Tang sua
冬山,Tang suann
冬山鄉,Tang suann hiong
東勢鄉,Tang sì hiong
東勢角,Tang sì kak
東勢區,Tang sì khu
東勢厝,Tang sì tshù
東竹,Tang tik
東石鄉,Tang tsio̍h hiong
東引鄉,Tang ín hiong
東澳,Tang ò
東湖,Tang ôo
達仁鄉,Ta̍t jîn hiong
天文館,Thian bûn kuán
天文臺,Thian bûn tâi
天后宮,Thian hiō kiong
鐵,Thih
天公金,Thinn kong kim
天公生,Thinn kong senn
天公祖,Thinn kong tsóo
程,Thiânn
湯,Thng
通霄,Thong siau
通霄鎮,Thong siau tìn
吞霄,Thun siau
傳藝中心,Thuân gē Tiong sim
泰安,Thài an
泰安鄉,Thài an hiong
泰武鄉,Thài bú hiong
太麻里,Thài mâ lí
太麻里鄉,Thài mâ lí hiong
太白星,Thài pi̍k tshenn
太白星,Thài pi̍k tshinn
太平洋,Thài pîng iûnn
太平區,Thài pîng khu
太保市,Thài pó tshī
泰山,Thài san
泰山區,Thài san khu
譚,Thâm
潭子,Thâm tsú
潭子區,Thâm tsú khu
潭仔墘,Thâm á kînn
頭份鎮,Thâu hūn tìn
頭屋鄉,Thâu ok hiong
頭汴坑溪,Thâu pān khenn khe
頭城,Thâu siânn
頭城鎮,Thâu siânn tìn
頭前溪,Thâu tsîng khe
頭前庄,Thâu tsîng tsng
頭圍,Thâu uî
體委會,Thé uí huē
土星,Thóo tshenn
土星,Thóo tshinn
桃源區,Thô guân khu
桃園,Thô hn̂g
桃園區,Thô hn̂g khu
桃園市,Thô hn̂g tshī
桃仔園,Thô á hn̂g
涂,Thôo
塗庫莊,Thôo khòo tsng
土庫鎮,Thôo khòo tìn
土城,Thôo siânn
土城區,Thôo siânn khu
褚,Thú
太魯閣大山,Thāi lóo kooh tuā suann
知本,Ti pún
刁,Tiau
德化堂,Tik huà tn̂g
竹崎,Tik kiā
竹崎鄉,Tik kiā hiong
竹南,Tik lâm
竹南鎮,Tik lâm tìn
竹北,Tik pak
竹北市,Tik pak tshī
竹山鎮,Tik san tìn
竹東,Tik tang
竹東鎮,Tik tang tìn
竹頭崎,Tik thâu kiā
竹中,Tik tiong
竹塘鄉,Tik tn̂g hiong
竹塹,Tik tshàm
竹田,Tik tshân
竹田鄉,Tik tshân hiong
竹仔山,Tik á suann
丁,Ting
竺,Tiok
中美,Tiong bí
中文,Tiong bûn
中研院,Tiong gián īnn
中元,Tiong guân
忠義,Tiong gī
忠孝復興,Tiong hàu Ho̍k hing
忠孝新生,Tiong hàu Sin sing
忠孝敦化,Tiong hàu Tun huà
中和區,Tiong hô khu
中央公園,Tiong iong Kong hn̂g
中央山脈,Tiong iong suann me̍h
中央尖山,Tiong iong tsiam suann
中油,Tiong iû
中區,Tiong khu
中國,Tiong kok
中港溪,Tiong káng khe
中寮鄉,Tiong liâu hiong
中壢,Tiong li̍k
中壢區,Tiong li̍k khu
中南美,Tiong lâm bí
中南海,Tiong lâm hái
中里,Tiong lí
中埔鄉,Tiong poo hiong
中山,Tiong san
中山國小,Tiong san Kok sió
中山國中,Tiong san Kok tiong
中山區,Tiong san khu
中西區,Tiong se khu
中選會,Tiong suán huē
中秋,Tiong tshiu
中秋餅,Tiong tshiu piánn
中秋節,Tiong tshiu tseh
中秋節,Tiong tshiu tsueh
中洲,Tiong tsiu
中正紀念堂,Tiong tsìng Kì liām tn̂g
中正區,Tiong tsìng khu
張,Tiunn
張許,Tiunn Khóo
張簡,Tiunn Kán
張廖,Tiunn Liāu
張李,Tiunn Lí
張大千紀念館,Tiunn tāi tshian Kì liām kuán
店仔口,Tiàm á kháu
展,Tián
田,Tiân
田中,Tiân tiong
田中鎮,Tiân tiong tìn
晁,Tiâu
朝天宮,Tiâu thian kiong
釣魚台,Tiò hî tâi
長治鄉,Tióng tī hiong
潮州,Tiô tsiu
潮州鎮,Tiô tsiu tìn
長和宮,Tiông hô kiong
長濱鄉,Tiông pin hiong
趙,Tiō
狄,Ti̍k
翟,Ti̍k
直加弄,Ti̍t ka lòng
唐,Tn̂g
長城,Tn̂g siânn
唐山,Tn̂g suann
多良,To liông
多林,To lîm
哆囉滿,To lô buán
卓,Toh
卓溪鄉,Toh khe hiong
卓蘭鎮,Toh lân tìn
東方,Tong hong
東河鄉,Tong hô hiong
東埔蚋溪,Tong poo la̍k khe
東山區,Tong san khu
都會公園,Too huē Kong hn̂g
都城隍廟,Too sîng hông biō
獨立山,To̍k li̍p suann
查,Tsa
查畝營,Tsa bóo iânn
齋明寺,Tsai bîng sī
曾,Tsan
曾文溪,Tsan bûn khe
鄒,Tsau
沼平,Tsau pîng
十分,Tsa̍p hūn
十八王公廟,Tsa̍p peh ông kong biō
青埔,Tshenn poo
車埕,Tshia tiânn
赤崁,Tshiah khàm
千里眼,Tshian lí gán
戚,Tshik
深坑區,Tshim khinn khu
青山國王廟,Tshing san kok ông biō
清水,Tshing tsuí
清水巖,Tshing tsuí giâm
清水溪,Tshing tsuí khe
清水區,Tshing tsuí khu
清代,Tshing tāi
菁桐,Tshinn tông
七美鄉,Tshit bí hiong
七爺,Tshit iâ
七股區,Tshit kóo khu
七股寮,Tshit kóo liâu
七娘媽,Tshit niû má
七娘媽生,Tshit niû má senn
七娘媽生,Tshit niû má sinn
七張,Tshit tiunn
七星山,Tshit tshenn suann
七星山,Tshit tshinn suann
七堵,Tshit tóo
七堵區,Tshit tóo khu
成,Tshiânn
樹杞林,Tshiū kí nâ
樹林,Tshiū nâ
樹林區,Tshiū nâ khu
樹林口,Tshiū nâ kháu
象鼻湖,Tshiūnn phīnn ôo
床母,Tshn̂g bú
崔,Tshui
春日鄉,Tshun ji̍t hiong
蔡,Tshuà
菜寮,Tshài liâu
臭水,Tshàu tsuí
臭水庄,Tshàu tsuí tsng
草衙,Tsháu gê
草山,Tsháu suann
草山行館,Tsháu suann Hîng kuán
草屯鎮,Tsháu tùn tìn
草鞋墩,Tsháu ê tun
柴,Tshâ
柴城,Tshâ siânn
車城鄉,Tshâ siânn hiong
柴山,Tshâ suann
田尾鄉,Tshân bué hiong
田寮區,Tshân liâu khu
田中央,Tshân tiong ng
莿桐鄉,Tshì tông hiong
莿桐巷,Tshì tông hāng
徐,Tshî
徐匯中學,Tshî huē Tiong ha̍k
楚,Tshóo
市議會,Tshī gī huē
市政府,Tshī tsìng hú
芝蘭三堡,Tsi lân sam pó
芝山,Tsi san
詹,Tsiam
尖山,Tsiam suann
尖石鄉,Tsiam tsio̍h hiong
漳泉濫,Tsiang Tsuân lām
彰化,Tsiang huà
漳和,Tsiang hô
昭應宮,Tsiau ìng kiong
甄,Tsin
鍾,Tsing
鐘,Tsing
祝,Tsiok
祝山,Tsiok suann
彰化縣,Tsiong huà kuān
彰化市,Tsiong huà tshī
將軍區,Tsiong kun khu
將軍莊,Tsiong kun tsng
石,Tsio̍h
石岡區,Tsio̍h kng khu
石龜,Tsio̍h ku
石觀音,Tsio̍h kuan im
石硿仔,Tsio̍h kńg á
石榴,Tsio̍h liû
石門區,Tsio̍h mn̂g khu
石城,Tsio̍h siânn
石碇區,Tsio̍h tīng khu
周,Tsiu
章,Tsiunn
樟腦寮,Tsiunn nóo liâu
姐母,Tsiá bó
鳥松跤,Tsiáu tshîng kha
鳥松區,Tsiáu tshîng khu
前金區,Tsiân kim khu
前鎮高中,Tsiân tìn Ko tiong
前鎮區,Tsiân tìn khu
蔣,Tsiúnn
謝,Tsiā
集集,Tsi̍p tsi̍p
集集線,Tsi̍p tsi̍p suànn
集集鎮,Tsi̍p tsi̍p tìn
集應廟,Tsi̍p ìng biō
莊,Tsng
臧,Tsong
朱,Tsu
諸葛,Tsu kat
諸羅山,Tsu lô san
水,Tsuí
水尾,Tsuí bué
水尾,Tsuí bé
水堀頭,Tsuí khut thâu
水里,Tsuí lí
水里鄉,Tsuí lí hiong
水裡坑,Tsuí lí khenn
水林鄉,Tsuí nâ hiong
水仙宮,Tsuí sian kiong
水社寮,Tsuí siā liâu
水上鄉,Tsuí siāng hiong
水上,Tsuí siōng
水燦林,Tsuí tshàn nâ
水返腳,Tsuí tńg kha
志學,Tsì ha̍k
晉,Tsìn
證交所,Tsìng kau sóo
指南宮,Tsí lâm kiong
秦,Tsîn
前溝尾,Tsîng kau bué
錢,Tsînn
錢穆紀念館,Tsînn bo̍k Kì liām kuán
壯圍鄉,Tsòng uî hiong
左,Tsó
左營,Tsó iânn
左營區,Tsó iânn khu
左鎮區,Tsó tìn khu
總統府衙,Tsóng thóng hú gê
總趕宮,Tsóng á king
祖師廟,Tsóo su biō
曹,Tsô
藏鏡人,Tsông kiànn jîn
藏鏡人,Tsông kiànn lîn
崇德,Tsông tik
註生娘娘,Tsù senn niû niû
註生娘娘,Tsù sinn niû niû
梓官區,Tsú kuann khu
慈天宮,Tsû thian kiong
慈濟宮,Tsû tsè kiong
造橋,Tsō kiô
造橋鄉,Tsō kiô hiong
自來水博物館,Tsū lâi tsuí Phok bu̍t kuán
端木,Tuan bo̍k
追分,Tui hun
敦煌,Tun hông
大目降,Tuā ba̍k kàng
大園區,Tuā hn̂g khu
大佳臘,Tuā ka la̍h
大嵙陷,Tuā khoo hām
大嵙崁,Tuā khoo khàm
大坵園,Tuā khu hn̂g
大橋頭,Tuā kiô thâu
大寮,Tuā liâu
大寮區,Tuā liâu khu
大龍泵,Tuā lông pōng
大內區,Tuā lāi khu
大林,Tuā nâ
大林鎮,Tuā nâ tìn
大埤鄉,Tuā pi hiong
大埔鄉,Tuā poo hiong
大埔林,Tuā poo nâ
大埔心,Tuā poo sim
大霸尖山,Tuā pà tsiam suann
大壩仔,Tuā pà á
大坪林,Tuā pînn nâ
大城鄉,Tuā siânn hiong
大社,Tuā siā
大社區,Tuā siā khu
大山,Tuā suann
大雪山,Tuā suat suann
大嶼,Tuā sū
大礁溪,Tuā ta khe
大稻埕偶戲館,Tuā tiū tiânn Ngóo hì kuán
大樹跤,Tuā tshiū kha
大樹區,Tuā tshiū khu
大庄,Tuā tsng
大肚,Tuā tōo
大肚區,Tuā tōo khu
大肚山,Tuā tōo suann
大屯山,Tuā tūn suann
大隘,Tuā ài
大湖,Tuā ôo
大湖公園,Tuā ôo Kong hn̂g
大湖鄉,Tuā ôo hiong
大湖口,Tuā ôo kháu
段,Tuān
地基主,Tuē ki tsú
地檢署,Tuē kiám sú
罩蘭,Tà lân
打狗,Tá káu
董,Táng
打馬武窟,Tánn má bú khut
打貓,Tánn niau
斗六,Táu la̍k
斗六門,Táu la̍k mn̂g
斗六市,Táu la̍k tshī
斗南,Táu lâm
斗南鎮,Táu lâm tìn
臺海,Tâi hái
臺南,Tâi lâm
臺南府,Tâi lâm hú
臺南市,Tâi lâm tshī
臺北,Tâi pak
臺北海洋館,Tâi pak Hái iûnn kuán
臺北二二八紀念館,Tâi pak Jī jī pat Kì liām kuán
臺北故事館,Tâi pak Kòo sū kuán
臺北探索館,Tâi pak Thàm soh kuán
臺北當代藝術館,Tâi pak Tong tāi Gē su̍t kuán
臺北車站,Tâi pak Tshia tsām
臺北市立天文科學教育館,Tâi pak Tshī li̍p Thian bûn Kho ha̍k Kàu io̍k kuán
臺北橋,Tâi pak kiô
臺北市,Tâi pak tshī
臺北市兒童交通博物館,Tâi pak tshī Jî tông Kau thong Phok bu̍t kuán
臺胞,Tâi pau
臺西鄉,Tâi se hiong
臺商,Tâi siong
臺東,Tâi tang
臺東縣,Tâi tang kuān
臺東市,Tâi tang tshī
臺鐵,Tâi thih
臺中,Tâi tiong
臺中港,Tâi tiong káng
臺中市,Tâi tiong tshī
臺電,Tâi tiān
臺電大樓,Tâi tiān Tuā lâu
臺大醫院,Tâi tāi Pēnn īnn
臺大醫院,Tâi tāi Pīnn īnn
臺灣民俗北投文物館,Tâi uân Bîn sio̍k Pak tâu Bûn bu̍t kuán
臺灣林業陳列館,Tâi uân Lîm gia̍p Tîn lia̍t kuán
談文,Tâm bûn
陳,Tân
陳廖,Tân Liāu
陳有蘭溪,Tân iú lân khe
陳三五娘,Tân sann Gōo niû
童,Tâng
銅鑼,Tâng lô
銅鑼鄉,Tâng lô hiong
銅鑼灣,Tâng lô uan
戴,Tè
智,Tì
鎮安,Tìn an
鎮瀾宮,Tìn lân kiong
頂溪,Tíng khe
頂溪,Tíng khue
頂埔,Tíng poo
池,Tî
遲,Tî
池上,Tî siōng
池上鄉,Tî siōng hiong
陶,Tô
佟,Tông
唐詩,Tông si
屠,Tôo
搭里霧,Tā lí buh
大安,Tāi an
大安森林公園,Tāi an Sim lîm Kong hn̂g
大安溪,Tāi an khe
大安區,Tāi an khu
大武,Tāi bú
大武鄉,Tāi bú hiong
大武山,Tāi bú suann
大興宮,Tāi hin kiong
大華,Tāi huâ
大漢溪,Tāi hàn khe
大富,Tāi hô
大甲,Tāi kah
大甲溪,Tāi kah khe
大甲區,Tāi kah khu
大甲蓆,Tāi kah tshio̍h
大溪,Tāi khe
大溪區,Tāi khe khu
大慶,Tāi khìng
大里,Tāi lí
大里溪,Tāi lí khe
大里杙,Tāi lí khi̍t
大里區,Tāi lí khu
大雅區,Tāi ngé khu
大西洋,Tāi se iûnn
大仙寺,Tāi sian sī
大東,Tāi tang
代天府,Tāi thian hú
大直,Tāi ti̍t
大村鄉,Tāi tshuan hiong
大同鄉,Tāi tông hiong
大同區,Tāi tông khu
大道公,Tāi tō kong
淡水,Tām tsuí
淡水河,Tām tsuí hô
淡水區,Tām tsuí khu
豆仔埔,Tāu á poo
第一分道,Tē it hun tō
地基主,Tē ki tsú
地檢署,Tē kiám sú
鄭,Tēnn
鄭氏家廟,Tēnn sī Ka biō
鄧,Tīng
鄧公廟,Tīng kong biō
定光佛廟,Tīng kong hu̍t biō
鄭,Tīnn
道教,Tō kàu
動物園,Tōng bu̍t hn̂g
杜,Tōo
竇,Tōo
烏來區,U lai khu
灣里街,Uan lí ke
灣里街,Uan lí kue
越戰,Ua̍t tsiàn
殷,Un
溫,Un
恩主公廟,Un tsú kong biō
尉遲,Ut tî
苑裡,Uán lí
苑裡鎮,Uán lí tìn
遠東,Uán tong
袁,Uân
員林,Uân lîm
員林鎮,Uân lîm tìn
圍仔內,Uî á lāi
援巢右,Uān tsâu iū
衛,Uē
衛武營,Uē bú iânn
亞,a
腌,a
阿,a
鴉,a
阿母,a bú
阿兄,a hiann
亞鉛,a iân
亞鉛鉼,a iân phiánn
亞鉛線,a iân suànn
阿公,a kong
阿姑,a koo
亞軍,a kun
阿妗,a kīm
阿舅,a kū
阿里不達,a lí put ta̍t
阿媽,a má
阿娘,a niâ
阿爸,a pa
阿伯,a peh
鴉片,a phiàn
鴉片仙,a phiàn sian
阿不倒仔,a put tó á
阿婆,a pô
阿沙不魯,a sa puh luh
阿西,a se
阿舍,a sià
阿舍囝,a sià kiánn
阿桑,a sáng
阿嫂,a só
阿爹,a tia
阿丈,a tiūnn
阿啄仔,a tok á
腌臢,a tsa
阿叔,a tsik
阿叔仔,a tsik á
阿姊,a tsí
阿嬸,a tsím
阿祖,a tsóo
阿姨,a î
阿姆,a ḿ
仔,ah
啊,ah
壓,ah
押,ah
矣,ah
鴨,ah
鴨咪仔,ah bî á
鴨母喙,ah bó tshuì
鴨母蹄,ah bó tê
抑無,ah bô
鴨母,ah bú
壓味,ah bī
鴨羶,ah hiàn
鴨雄仔,ah hîng á
鴨雄仔聲,ah hîng á siann
鴨鵤,ah kak
鴨卵,ah nn̄g
壓霸,ah pà
鴨鯗,ah siúnn
押送,ah sàng
鴨掌,ah tsiúnn
鴨仔,ah á
鴨仔囝,ah á kiánn
鴨仔癉,ah á tan
押後,ah āu
押韻,ah ūn
哀,ai
哎,ai
埃,ai
挨,ai
哎喲喂,ai iō uê
哀求,ai kiû
哀爸叫母,ai pē kiò bú
哀傷,ai siong
哀怨,ai uàn
哎,aih
噯,aih
握,ak
沃,ak
齷,ak
沃花,ak hue
沃雨,ak hōo
沃肥,ak puî
齷齪,ak tsak
握手,ak tshiú
沃水,ak tsuí
沃澹,ak tâm
庵,am
掩,am
罨,am
諳,am
醃,am
闇,am
𧌄,am
掩崁,am khàm
醃缸,am kng
醃瓜,am kue
𧌄蜅蠐,am poo tsê
安,an
鞍,an
安太歲,an Thài suè
安眠,an bîn
安份,an hūn
安養,an ióng
安家,an ka
安寧,an lîng
安靈,an lîng
安排,an pâi
安心,an sim
安身,an sin
安詳,an siông
安搭,an tah
安胎,an thai
安宅,an the̍h
安土,an thóo
安插,an tshah
安床,an tshn̂g
安裝,an tsong
安全,an tsuân
安葬,an tsòng
安靜,an tsīng
安打,an tánn
安置,an tì
安定,an tīng
安慰,an uì
安穩,an ún
尪,ang
翁,ang
翁某,ang bóo
尪架桌,ang kè toh
翁婿,ang sài
尪仔,ang á
翁仔某,ang á bóo
尪仔面,ang á bīn
尪仔物,ang á mi̍h
尪仔物,ang á mn̍gh
尪仔標,ang á phiau
尪仔頭,ang á thâu
尪仔冊,ang á tsheh
尪姨,ang î
壓,ap
押,ap
握,ap
壓力,ap li̍k
壓迫,ap pik
壓縮,ap sok
壓制,ap tsè
楬,at
遏,at
遏手把,at tshiú pà
楬仔,at á
遏泔,at ám
歐,au
漚,au
甌,au
漚鹹菜,au kiâm tshài
漚肥,au puî
甌仔,au á
曷,a̍h
盒,a̍h
曷使,a̍h sái
曷著,a̍h tio̍h
狎,a̍p
盒,a̍p
盒仔,a̍p á
盒仔餅,a̍p á piánn
肉,bah
肉魚仔,bah hî á
肉拊,bah hú
肉魚仔,bah hû á
肉幼仔,bah iù á
肉雞仔,bah ke á
肉羹,bah kenn
肉跤仔,bah kha á
肉繭仔,bah kián á
肉乾,bah kuann
肉雞仔,bah kue á
肉骨,bah kut
肉感,bah kám
肉卷,bah kńg
肉瘤,bah liû
肉類,bah luī
肉包,bah pau
肉皮,bah phuê
肉皮,bah phê
肉品,bah phín
肉餅,bah piánn
肉脯,bah póo
肉絲,bah si
肉色,bah sik
肉酥,bah soo
肉屑,bah sut
肉豉仔,bah sīnn á
肉體,bah thé
肉砧,bah tiam
肉質,bah tsit
肉鯽仔,bah tsit á
肉粽,bah tsàng
肉粽角,bah tsàng kak
肉糋,bah tsìnn
肉豆,bah tāu
肉圓,bah uân
肉丸仔,bah uân á
屄,bai
沐,bak
沐手,bak tshiú
沐水,bak tsuí
屘,ban
屘囝,ban kiánn
屘仔,ban á
捌,bat
捌貨,bat huè
捌貨,bat hè
捌字,bat jī
捌字,bat lī
捌想,bat siūnn
捌代誌,bat tāi tsì
墨,ba̍k
木,ba̍k
目,ba̍k
茉,ba̍k
目尾,ba̍k bué
目眉,ba̍k bâi
目尾,ba̍k bé
目蚶,ba̍k ham
目油,ba̍k iû
木工,ba̍k kang
目空,ba̍k khang
目空赤,ba̍k khang tshiah
目箍,ba̍k khoo
目孔,ba̍k khóng
目鏡,ba̍k kiànn
目鏡仁,ba̍k kiànn jîn
木屐,ba̍k kiā
目光,ba̍k kng
目狗針,ba̍k káu tsiam
目𥍉仔,ba̍k nih á
茉莉花,ba̍k nī hue
墨盤,ba̍k puânn
木蝨,ba̍k sat
目色,ba̍k sik
目屎,ba̍k sái
目屎膏,ba̍k sái ko
目頭,ba̍k thâu
墨賊仔,ba̍k tsa̍t á
木匠,ba̍k tshiūnn
目睫毛,ba̍k tsiah mn̂g
目針,ba̍k tsiam
墨汁,ba̍k tsiap
目睭,ba̍k tsiu
目睭掩,ba̍k tsiu iám
目睭遮,ba̍k tsiu jia
目睭仁,ba̍k tsiu jîn
目睭遮,ba̍k tsiu lia
目睭毛,ba̍k tsiu mn̂g
目睭皮,ba̍k tsiu phuê
目睭皮,ba̍k tsiu phê
墨水,ba̍k tsuí
目地,ba̍k tuē
墨斗,ba̍k táu
目地,ba̍k tē
密,ba̍t
密密,ba̍t ba̍t
密密是,ba̍t ba̍t sī
密實,ba̍t tsa̍t
密喌喌,ba̍t tsiuh tsiuh
欲呢,beh nî
欲死欲活,beh sí beh ua̍h
欲知,beh tsai
欲晝仔,beh tàu á
麥,be̍h
麥芽膏,be̍h gê ko
麥芽糖,be̍h gê thn̂g
麥片,be̍h phìnn
麥仔,be̍h á
麥仔茶,be̍h á tê
滅,bia̍t
篾,bia̍t
蔑,bia̍t
滅亡,bia̍t bông
覕,bih
覕雨,bih hōo
覕相揣,bih sio tshuē
覕相揣,bih sio tshē
覕鬚,bih tshiu
覕喙,bih tshuì
免,bián
勉,bián
娩,bián
愍,bián
鮸,bián
免費,bián huì
鮸魚,bián hî
鮸魚,bián hû
免疫,bián i̍k
免疫力,bián i̍k li̍k
免驚,bián kiann
勉強,bián kióng
勉勵,bián lē
免不了,bián put liáu
免數想,bián siàu siūnn
免稅,bián suè
免稅,bián sè
免錢飯,bián tsînn pn̄g
免除,bián tû
渺,biáu
秒,biáu
藐,biáu
藐視,biáu sī
棉,biân
眠,biân
綿,biân
綿延,biân iân
描,biâu
苗,biâu
錨,biâu
描繪,biâu huē
描述,biâu su̍t
秒,bió
秒鐘,bió tsing
描,biô
描寫,biô siá
面,biān
麵,biān
面會,biān huē
面臨,biān lîm
面試,biān tshì
面談,biān tâm
廟,biō
廟會,biō huē
廟公,biō kong
廟寺,biō sī
廟埕,biō tiânn
廟仔,biō á
繆,biū
謬,biū
篾,bi̍h
篾蓆,bi̍h tshio̍h
篾仔,bi̍h á
墨,bi̍k
脈,bi̍k
覓,bi̍k
陌,bi̍k
默,bi̍k
密,bi̍t
沕,bi̍t
蜜,bi̍t
密碼,bi̍t bé
蜜月,bi̍t gua̍t
密告,bi̍t kò
密婆,bi̍t pô
密室,bi̍t sik
密切,bi̍t tshiat
密集,bi̍t tsi̍p
密度,bi̍t tōo
揍,bok
摸,bong
摸無路,bong bô lōo
寞,bo̍k
木,bo̍k
沐,bo̍k
漠,bo̍k
牧,bo̍k
目,bo̍k
睦,bo̍k
莫,bo̍k
沐沐泅,bo̍k bo̍k siû
莫名,bo̍k bîng
莫名其妙,bo̍k bîng kî miāu
莫非,bo̍k hui
木魚,bo̍k hî
木耳,bo̍k jínn
木瓜,bo̍k kue
莫怪,bo̍k kuài
目錄,bo̍k lo̍k
木麻黃,bo̍k muâ hông
木棉,bo̍k mî
目標,bo̍k piau
木心枋,bo̍k sim pang
牧師,bo̍k su
木雕,bo̍k tiau
牧場,bo̍k tiûnn
目的,bo̍k ti̍k
目前,bo̍k tsiân
木材,bo̍k tsâi
抹,buah
抹面,buah bīn
抹粉,buah hún
抹鹽,buah iâm
抹烏,buah oo
抹壁,buah piah
抹刀,buah to
末,bua̍h
茉,bua̍h
末末,bua̍h bua̍h
茉草,bua̍h tsháu
末,bua̍t
襪,bua̍t
欲,bueh
欲呢,bueh nî
欲死欲活,bueh sí bueh ua̍h
欲知,bueh tsai
欲晝仔,bueh tàu á
欲暗仔,bueh àm á
襪,bue̍h
微,bui
蝛,bui
粅,but
魩,but
魩仔魚,but á hî
魩仔魚,but á hû
晚,buán
滿,buán
輓,buán
晚安,buán an
滿滿,buán buán
